year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Thueringen,Sachsen,1973,2071,4044,122,66,188,2095,2137,4232
2000,Thueringen,Sachsen-Anhalt,992,1046,2038,62,41,103,1054,1087,2141
2000,Thueringen,Thueringen,0,0,0,0,0,0,0,0,0
2000,Thueringen,Insgesamt,16527,18111,34638,1631,1055,2686,18158,19166,37324
2000,Insgesamt,Schleswig-Holstein,28184,29306,57490,2684,2125,4809,30868,31431,62299
2000,Insgesamt,Hamburg,25284,25113,50397,4027,2815,6842,29311,27928,57239
2000,Insgesamt,Niedersachsen,54488,56862,111350,6145,4642,10787,60633,61504,122137
2000,Insgesamt,Bremen,8761,8729,17490,1342,1030,2372,10103,9759,19862
2000,Insgesamt,Nordrhein-Westfalen,66434,68534,134968,13299,9325,22624,79733,77859,157592
2000,Insgesamt,Hessen,39361,40336,79697,9368,6404,15772,48729,46740,95469
2000,Insgesamt,Rheinland-Pfalz,29477,30172,59649,5619,4048,9667,35096,34220,69316
2000,Insgesamt,Baden-Wuerttemberg,57929,57369,115298,11585,8510,20095,69514,65879,135393
2000,Insgesamt,Bayern,63320,63480,126800,11256,7795,19051,74576,71275,145851
2000,Insgesamt,Saarland,4649,4546,9195,769,686,1455,5418,5232,10650
2000,Insgesamt,Berlin,33742,33100,66842,5568,4199,9767,39310,37299,76609
2000,Insgesamt,Brandenburg,30216,30519,60735,1588,1153,2741,31804,31672,63476
2000,Insgesamt,Mecklenburg-Vorpommern,11483,11246,22729,681,429,1110,12164,11675,23839
2000,Insgesamt,Sachsen,20840,19831,40671,2139,1367,3506,22979,21198,44177
2000,Insgesamt,Sachsen-Anhalt,12475,12330,24805,1392,804,2196,13867,13134,27001
2000,Insgesamt,Thueringen,11994,11918,23912,1121,690,1811,13115,12608,25723
2000,Insgesamt,Insgesamt,498637,503391,1002028,78583,56022,134605,577220,559413,1136633
2001,Schleswig-Holstein,Schleswig-Holstein,0,0,0,0,0,0,0,0,0
2001,Schleswig-Holstein,Hamburg,7981,7860,15841,1060,846,1906,9041,8706,17747
2001,Schleswig-Holstein,Niedersachsen,3883,4003,7886,310,246,556,4193,4249,8442
2001,Schleswig-Holstein,Bremen,340,309,649,54,30,84,394,339,733
2001,Schleswig-Holstein,Nordrhein-Westfalen,2484,2478,4962,389,318,707,2873,2796,5669
